epoch,train_loss,train_loss_cls,train_loss_mmd,trg_OA,trg_mIoU,src_OA,srg_mIoU,lr,trg_precision,src_precision,loss_mmd_list,weight_mmd_list
1,1.8403263099086482,1.8403263099086482,0.0,0.41261254060966335,0.09047513455152512,0.15768037057403558,0.0439278781414032,0.00010000900000000001,0.20504634082317352,0.2476208359003067,[],[]
2,1.3104411348806206,1.3104411348806206,0.0,0.2348066576806986,0.08817688375711441,0.6752679467395246,0.3584851324558258,0.00020000800000000003,0.2206416130065918,0.687742292881012,[],[]
3,0.7596858420341009,0.7596858420341009,0.0,0.47603957858113866,0.12411874532699585,0.7272977023752937,0.47487664222717285,0.00030000700000000003,0.4252106249332428,0.7275726199150085,[],[]
4,0.6070433853999943,0.6070433853999943,0.0,0.3720266382111011,0.08522110432386398,0.7513511066492156,0.5418111681938171,0.00040000600000000006,0.20827390253543854,0.7019698619842529,[],[]
5,0.5658300191023108,0.5658300191023108,0.0,0.49165233807976777,0.13849417865276337,0.7575286720431325,0.5473745465278625,0.0005000050000000001,0.26378393173217773,0.7195181846618652,[],[]
6,0.5492101521462414,0.5492101521462414,0.0,0.4022624766710444,0.11403537541627884,0.756244249724719,0.5462422966957092,0.0006000040000000001,0.20573602616786957,0.7294983863830566,[],[]
7,0.5454136169478121,0.5454136169478121,0.0,0.4272226590401143,0.11992394924163818,0.7678200282004817,0.5476654171943665,0.0007000030000000001,0.20392124354839325,0.7557881474494934,[],[]
8,0.5390153230293423,0.5390153230293423,0.0,0.42445162553858207,0.13582736253738403,0.7601667529901431,0.544788122177124,0.0008000020000000002,0.21261771023273468,0.7309644818305969,[],[]
9,0.5367753420104372,0.5367753420104372,0.0,0.4612901344439068,0.10894205421209335,0.7649671371629002,0.5554395318031311,0.0009000010000000002,0.20253461599349976,0.740607500076294,[],[]
10,0.5320638504152321,0.5320638504152321,0.0,0.4750776191792816,0.11006251722574234,0.7662395762737817,0.5444146990776062,0.0009969220851487844,0.22690385580062866,0.7425994277000427,[],[]
11,0.5405833407989912,0.5405833407989912,0.0,0.47897873896914817,0.11204590648412704,0.7620134984175508,0.5464696288108826,0.0009962773315386935,0.18286271393299103,0.7370600700378418,[],[]
12,0.5246466362659531,0.5246466362659531,0.0,0.48223903251077166,0.10495810955762863,0.7718525994461983,0.5629625916481018,0.0009955718126821722,0.22735029458999634,0.7376287579536438,[],[]
13,0.5245836025927365,0.5245836025927365,0.0,0.47303381546508144,0.12060100585222244,0.7669026470905438,0.5429973006248474,0.0009948057026554415,0.212522491812706,0.7571627497673035,[],[]
14,0.5120310230317127,0.5120310230317127,0.0,0.3872329410612659,0.11870288848876953,0.7655671851844948,0.548572301864624,0.000993979190484687,0.22992144525051117,0.7470631003379822,[],[]
15,0.508448792511408,0.508448792511408,0.0,0.20103259429506232,0.07897450774908066,0.7694967896099377,0.5583054423332214,0.000993092480099419,0.2102062702178955,0.7565963864326477,[],[]
16,0.5068958504896074,0.5068958504896074,0.0,0.4330412173682634,0.10500986129045486,0.7669150741205768,0.5481551885604858,0.0009921457902821577,0.17079834640026093,0.7531707882881165,[],[]
17,0.4972421422988247,0.4972421422988247,0.0,0.38957951717702355,0.12454468011856079,0.7784455827012191,0.5691580176353455,0.0009911393546144496,0.19899167120456696,0.7721262574195862,[],[]
18,0.49847222195308544,0.49847222195308544,0.0,0.4184130982005023,0.11620521545410156,0.7705326713276905,0.5637612342834473,0.0009900734214192358,0.18369536101818085,0.7395417094230652,[],[]
19,0.4897842588118909,0.4897842588118909,0.0,0.3731660848828368,0.1145489439368248,0.7723137310249237,0.5655805468559265,0.0009889482536995825,0.18462514877319336,0.7557246088981628,[],[]
20,0.4909006947603068,0.4909006947603068,0.0,0.23345516232344876,0.08982374519109726,0.7867410690707644,0.5841983556747437,0.0009877641290737885,0.1908951848745346,0.7788154482841492,[],[]
21,0.4857810755782094,0.4857810755782094,0.0,0.471695280638695,0.1171129047870636,0.7725622716255842,0.5709938406944275,0.0009865213397068863,0.20977099239826202,0.7350062727928162,[],[]
22,0.48426094221448784,0.48426094221448784,0.0,0.3973777965945485,0.12069669365882874,0.7909298658368962,0.5857999920845032,0.0009852201922385564,0.2076214700937271,0.775912344455719,[],[]
23,0.48627989173780944,0.48627989173780944,0.0,0.4502031203198083,0.1352611780166626,0.7816779419773091,0.5730662941932678,0.000983861007707467,0.2003611922264099,0.7632654309272766,[],[]
24,0.47904333926684467,0.47904333926684467,0.0,0.398285753784475,0.10915880650281906,0.7781766262655044,0.5733563303947449,0.0009824441214720627,0.1845294088125229,0.7575560212135315,[],[]
25,0.4743163909049744,0.4743163909049744,0.0,0.3651064347595678,0.10648325085639954,0.783188713771324,0.5769097805023193,0.0009809698831278217,0.196200892329216,0.7592785358428955,[],[]
26,0.4768922060164436,0.4768922060164436,0.0,0.2420346737402364,0.08396986126899719,0.783403967684396,0.5811372399330139,0.0009794386564209953,0.1694638878107071,0.7615190148353577,[],[]
27,0.4740813217053177,0.4740813217053177,0.0,0.2776437322872745,0.0935862734913826,0.7827564306551752,0.5796648859977722,0.0009778508191588613,0.1717197299003601,0.7738798260688782,[],[]
28,0.46925636636309026,0.46925636636309026,0.0,0.40576830026957905,0.1238800659775734,0.7688164097156296,0.548112690448761,0.000976206763116505,0.22743864357471466,0.7600595355033875,[],[]
29,0.4670249910289796,0.4670249910289796,0.0,0.2818001025321997,0.1048479974269867,0.7749100926568235,0.568902850151062,0.0009745068939401539,0.2054954618215561,0.7598865032196045,[],[]
30,0.46408846444201524,0.46408846444201524,0.0,0.31971613557291306,0.10299992561340332,0.7736904684235825,0.5739308595657349,0.000972751631047092,0.18579085171222687,0.7422946095466614,[],[]
31,0.4644066128113591,0.4644066128113591,0.0,0.35398557924932605,0.11889141798019409,0.7894861112405593,0.5878058075904846,0.0009709414075221735,0.19959597289562225,0.785386323928833,[],[]
32,0.46189550859919676,0.46189550859919676,0.0,0.30478416395935576,0.10801639407873154,0.7746335912385888,0.5712073445320129,0.0009690766700109659,0.19499383866786957,0.7549548745155334,[],[]
33,0.462182060377254,0.462182060377254,0.0,0.3924311939817055,0.10431502014398575,0.7998853162656953,0.601966917514801,0.0009671578786095479,0.17609131336212158,0.7963158488273621,[],[]
34,0.45635200152724065,0.45635200152724065,0.0,0.4413651183152462,0.10091537982225418,0.7847518566204781,0.5864232182502747,0.0009651855067509859,0.1956052929162979,0.7700703740119934,[],[]
35,0.45948608133316604,0.45948608133316604,0.0,0.44712283415128684,0.11477776616811752,0.7845658949924839,0.5836103558540344,0.000963160041088523,0.20617163181304932,0.7718616127967834,[],[]
36,0.45527122270130943,0.45527122270130943,0.0,0.438124625584664,0.11528686434030533,0.7981206780010057,0.604073703289032,0.0009610819813755038,0.18652649223804474,0.7842707633972168,[],[]
37,0.45673568855011154,0.45673568855011154,0.0,0.33743462132208935,0.10847634822130203,0.7923110414605666,0.5931547284126282,0.0009589518403420676,0.21076732873916626,0.7801744937896729,[],[]
38,0.45259649098694466,0.45259649098694466,0.0,0.4182291306651921,0.1032743752002716,0.778578729451573,0.5801612734794617,0.0009567701435686405,0.19419455528259277,0.7583684325218201,[],[]
39,0.45572738655915496,0.45572738655915496,0.0,0.41621340810119584,0.11172091960906982,0.7799745512177824,0.5804343819618225,0.0009545374293562559,0.2088272124528885,0.757880449295044,[],[]
