epoch,train_loss,train_loss_cls,train_loss_mmd,trg_OA,trg_mIoU,src_OA,srg_mIoU,lr,trg_precision,src_precision,loss_mmd_list,weight_mmd_list
1,1.854718087976424,1.854718087976424,0.0,0.11534944471325545,0.03932175040245056,0.20684969018970306,0.06315169483423233,0.000100009,0.07527893036603928,0.1299298107624054,[],[]
2,1.2357311784234737,1.2357311784234737,0.0,0.22089532787262967,0.053448405116796494,0.6669999773650525,0.3250718116760254,0.00020000800000000005,0.2756950557231903,0.6612380146980286,[],[]
3,0.7749209644242099,0.7749209644242099,0.0,0.29602752528743576,0.10570845752954484,0.7361004778636869,0.4513361155986786,0.00030000700000000003,0.27138981223106384,0.7447514533996582,[],[]
4,0.6083713666696638,0.6083713666696638,0.0,0.3808768807170342,0.14610274136066434,0.7405697704505642,0.5176103115081787,0.00040000600000000017,0.2687492370605469,0.7166626453399658,[],[]
5,0.5621533228995952,0.5621533228995952,0.0,0.29026080908274005,0.09533536434173584,0.7591934502450566,0.547196090221405,0.0005000050000000001,0.2605344355106354,0.7340342402458191,[],[]
6,0.5551799099636979,0.5551799099636979,0.0,0.31054403988387363,0.14773140847682953,0.7733904444127851,0.5609786510467529,0.0006000040000000001,0.2953731119632721,0.7499868869781494,[],[]
7,0.5398096693393468,0.5398096693393468,0.0,0.5269535840188014,0.14730757474899292,0.7522893474167089,0.5306916236877441,0.0007000030000000001,0.24516324698925016,0.7213698029518127,[],[]
8,0.5428355340064277,0.5428355340064277,0.0,0.33257190214511184,0.12888331711292267,0.7555496675103732,0.5378541350364685,0.0008000020000000003,0.3048088848590851,0.7318823933601379,[],[]
9,0.5372050224536982,0.5372050224536982,0.0,0.4257696395244349,0.1502704918384552,0.7576622626159875,0.5373650193214417,0.0009000010000000002,0.3040570020675659,0.7494092583656311,[],[]
10,0.5332130515688136,0.5332130515688136,0.0,0.4066409760143776,0.16779382526874542,0.7663398801590482,0.5321185588836671,0.0009969220851487844,0.4086675941944122,0.7803409695625305,[],[]
11,0.5352476896194138,0.5352476896194138,0.0,0.4808396551922767,0.17440618574619293,0.7636032706167757,0.5335920453071594,0.0009962773315386935,0.2702561318874359,0.7419975399971008,[],[]
12,0.5284124556796771,0.5284124556796771,0.0,0.4042231169788715,0.20570708811283112,0.762533214566432,0.5477961897850037,0.0009955718126821722,0.3468973338603973,0.7420522570610046,[],[]
13,0.5137222159838846,0.5137222159838846,0.0,0.5072935387433469,0.18752248585224152,0.7747019399037705,0.563568651676178,0.0009948057026554415,0.3612173795700073,0.7407860755920409,[],[]
14,0.5112954693764942,0.5112954693764942,0.0,0.5611884662795789,0.21636341512203214,0.7602830344854522,0.5414387583732605,0.000993979190484687,0.319232314825058,0.7374446988105774,[],[]
15,0.5064258868883124,0.5064258868883124,0.0,0.4958256290177646,0.187163770198822,0.7766525397964541,0.5747009515762329,0.0009930924800994187,0.2849169969558716,0.750647246837616,[],[]
16,0.5086537037687663,0.5086537037687663,0.0,0.4463376419898159,0.1744241863489151,0.7811178379808207,0.5680134296417236,0.0009921457902821577,0.3080168068408966,0.7614216208457947,[],[]
17,0.5023025542004452,0.5023025542004452,0.0,0.4794499982719293,0.14945770800113678,0.7841424883263587,0.5849381685256958,0.0009911393546144496,0.2489151507616043,0.7630468010902405,[],[]
18,0.49831492166710795,0.49831492166710795,0.0,0.4424512828045437,0.1470889300107956,0.7806558187570929,0.5750422477722168,0.0009900734214192358,0.2231004387140274,0.7564489245414734,[],[]
19,0.4916190617050685,0.4916190617050685,0.0,0.327369689062464,0.12845902144908905,0.7580071126994039,0.5431497097015381,0.0009889482536995825,0.22724080085754395,0.752852201461792,[],[]
20,0.4925629644881467,0.4925629644881467,0.0,0.3826647139466833,0.14366556704044342,0.7889970188442595,0.5896115899085999,0.0009877641290737882,0.2284523248672485,0.7609520554542542,[],[]
21,0.4879944652107591,0.4879944652107591,0.0,0.2361459125365775,0.08848839998245239,0.7675630549722988,0.5595346093177795,0.0009865213397068863,0.2264062315225601,0.7506174445152283,[],[]
22,0.4830311953704408,0.4830311953704408,0.0,0.5149103707287851,0.1624593883752823,0.7787518202270329,0.5744215250015259,0.0009852201922385564,0.2540316879749298,0.7564377784729004,[],[]
23,0.4847838532699197,0.4847838532699197,0.0,0.2935920255293657,0.10707962512969972,0.7708668696710788,0.5633454322814941,0.000983861007707467,0.23140883445739746,0.7552427649497986,[],[]
24,0.4776597278056133,0.4776597278056133,0.0,0.3857990023271353,0.1461593061685562,0.7701336748991302,0.5610268712043762,0.0009824441214720627,0.2461649775505066,0.7602472901344299,[],[]
25,0.4750843872415258,0.4750843872415258,0.0,0.4251536542936799,0.14381086826324466,0.7794415203938658,0.5642604231834412,0.0009809698831278217,0.22629852592945104,0.7761043906211853,[],[]
26,0.4730327657069439,0.4730327657069439,0.0,0.5140628960162208,0.16317874193191528,0.7871067788117363,0.5876885056495667,0.0009794386564209953,0.2432945519685745,0.7692688107490541,[],[]
27,0.4730384203629572,0.4730384203629572,0.0,0.4662514976613442,0.17042748630046844,0.7967625811473965,0.6016658544540405,0.0009778508191588613,0.2594277560710907,0.7774936556816101,[],[]
28,0.4726338562320028,0.4726338562320028,0.0,0.2005487344761641,0.06354624778032303,0.7977416535849985,0.603316605091095,0.0009762067631165053,0.21353845298290253,0.7816608548164368,[],[]
29,0.4672387766147618,0.4672387766147618,0.0,0.32129516024976384,0.12664096057415009,0.7782023679705727,0.5522047877311707,0.0009745068939401539,0.252693235874176,0.7820966839790344,[],[]
30,0.4668617470115071,0.4668617470115071,0.0,0.13451482972742562,0.05521414056420326,0.7774505326535748,0.5694803595542908,0.000972751631047092,0.2026542276144028,0.7664668560028076,[],[]
31,0.4629919965427818,0.4629919965427818,0.0,0.2467479867975393,0.09542807936668396,0.7966054679819791,0.6008597016334534,0.0009709414075221737,0.21948134899139404,0.7864750027656555,[],[]
32,0.4623953421593558,0.4623953421593558,0.0,0.16674010967489228,0.0657152459025383,0.7791752268931582,0.5794379115104675,0.000969076670010966,0.19758570194244385,0.7570292353630066,[],[]
33,0.4602066199548419,0.4602066199548419,0.0,0.2023894898735052,0.07554160803556442,0.7715694406904458,0.5676247477531433,0.000967157878609548,0.2289861440658569,0.7503888010978699,[],[]
34,0.4596107785477706,0.4596107785477706,0.0,0.14556296225893411,0.05843821167945864,0.7856244116577968,0.5839365720748901,0.0009651855067509859,0.16876262426376346,0.770773708820343,[],[]
35,0.4558778759224195,0.4558778759224195,0.0,0.2285740823944149,0.09055036306381226,0.7769299288596913,0.5713493824005127,0.000963160041088523,0.22411952912807465,0.7590237259864807,[],[]
36,0.4580580029222701,0.4580580029222701,0.0,0.1567280995829589,0.06781565397977829,0.7863363029496887,0.5835669636726379,0.0009610819813755037,0.20178203284740448,0.7805275917053223,[],[]
37,0.4540477026227518,0.4540477026227518,0.0,0.2639455312089583,0.10020781308412552,0.7890693619119519,0.5864477157592773,0.0009589518403420676,0.18940229713916776,0.7764854431152344,[],[]
38,0.4535170990454108,0.4535170990454108,0.0,0.2192248594502431,0.08053811639547348,0.7805266664092496,0.5796353220939636,0.0009567701435686404,0.1933353692293167,0.7566507458686829,[],[]
39,0.451531739804198,0.451531739804198,0.0,0.17078019515679366,0.07251784205436708,0.7877525405509523,0.5900006890296936,0.000954537429356256,0.1838327050209045,0.7669715285301208,[],[]
40,0.4521866306204605,0.4521866306204605,0.0,0.17721005852399715,0.06768085807561874,0.7867983221734165,0.5856202840805054,0.0009522542485937367,0.2472418993711472,0.7786473631858826,[],[]
41,0.5564948245354578,0.5564948245354578,0.058580545851510527,0.48655668936199625,0.1314835101366043,0.7858361149908595,0.575873076915741,0.00010000900000000001,0.24847622215747833,0.7764999270439148,"[0.030025482177734375, 0.015632212162017822, 0.01179051399230957, 0.01143944263458252]","[1.310372233390808, 1.5887202024459839, 1.5669753551483154, 0.5339325070381165]"
42,0.479745934054643,0.479745934054643,0.015048093412938527,0.5176936447316882,0.1556602120399475,0.7831709608712768,0.5800792574882507,0.00020000800000000003,0.34496986865997314,0.7685109972953796,"[0.0, 0.0, 0.0, 0.0]","[1.2993513345718384, 1.6009166240692139, 1.5673942565917969, 0.5323375463485718]"
43,0.4692820610201105,0.4692820610201105,0.012620218644239919,0.5583389495633742,0.18103604018688202,0.7772650148480817,0.5732098817825317,0.00030000700000000003,0.3689039647579193,0.7587860226631165,"[0.0, 0.005616813898086548, 0.011816143989562988, 0.01743754744529724]","[1.2701199054718018, 1.6240267753601074, 1.5779955387115479, 0.5278578400611877]"
44,0.46498821836061793,0.46498821836061793,0.01172914180518685,0.5254202812147185,0.16948936879634857,0.7872479143671113,0.5855371952056885,0.00040000600000000006,0.2790364623069763,0.7750404477119446,"[0.01614442467689514, 0.008606553077697754, 0.0077506303787231445, 0.02003684639930725]","[1.2133651971817017, 1.6676222085952759, 1.5991543531417847, 0.5198586583137512]"
45,0.46589239441897573,0.46589239441897573,0.013207637021833175,0.5372849271906177,0.15909253060817719,0.7759610643396165,0.5746631622314453,0.0005000050000000001,0.37699151039123535,0.7525387406349182,"[0.0013774633407592773, 0.0, 0.0, 0.007717728614807129]","[1.0936869382858276, 1.7304110527038574, 1.6711220741271973, 0.5047798752784729]"
