epoch,train_loss,mAcc,OA,lr,val_macro_IOU,val_micro_IOU,val_precision,val_recall,val_F1
1,4.634318149963451,0.16876981149968115,0.140444992626898,0.00010000900000000001,0.046574342995882034,0.07552613317966461,0.14255481958389282,0.16876982152462006,0.09804307669401169
2,1.5950583061709753,0.145327054316895,0.19618751584064884,0.00020000800000000003,0.039645712822675705,0.1087626963853836,0.18803077936172485,0.14532706141471863,0.20560216903686523
3,1.2987948269286054,0.3036154686995734,0.268411514135619,0.00030000700000000003,0.15415184199810028,0.15500883758068085,0.38792160153388977,0.3036154806613922,0.25991132855415344
4,0.9267296667781,0.3462382368388058,0.4183997776548927,0.00040000600000000006,0.18751345574855804,0.2645420432090759,0.3407040536403656,0.34623825550079346,0.3500348627567291
5,0.8405697104074149,0.3126132152717622,0.382928964770397,0.0005000050000000001,0.13949552178382874,0.2368040531873703,0.27748245000839233,0.31261321902275085,0.2613953649997711
6,0.8283497772881889,0.1738355696110456,0.12155537890832009,0.0006000040000000001,0.05064849182963371,0.06471065431833267,0.23862947523593903,0.17383556067943573,0.09350811690092087
7,0.9365991138397379,0.1882153255529138,0.2754278415243888,0.0007000030000000001,0.08466032147407532,0.1597079187631607,0.3348708152770996,0.18821533024311066,0.1412014365196228
8,1.0058760780391964,0.16593376082144443,0.13450114916706987,0.0008000020000000002,0.047639261931180954,0.07209929078817368,0.2124452441930771,0.1659337729215622,0.08651385456323624
9,0.8850436642871681,0.15399529510927454,0.1869243364208198,0.0009000010000000002,0.04243854060769081,0.10309792309999466,0.07172200828790665,0.15399529039859772,0.11129788309335709
10,1.9591506033360817,0.18295282271937766,0.23536036036036037,0.0009945369001834515,0.06558419018983841,0.133375883102417,0.12498446553945541,0.18295282125473022,0.10965239256620407
11,1.7785639042831765,0.18290344860613036,0.2306801686597083,0.00099339472571829,0.0662781372666359,0.1303778737783432,0.20360057055950165,0.182903453707695,0.22366076707839966
12,1.529866444585453,0.16460551293185302,0.20885643475956775,0.0009921457902821577,0.05307242274284363,0.11660508066415787,0.2006685584783554,0.164605513215065,0.2719481587409973
13,1.4981404517559296,0.18821160591641806,0.19588222333586783,0.0009907906416994146,0.06475633382797241,0.10857507586479187,0.17987312376499176,0.1882116049528122,0.22380751371383667
14,1.4235194233856021,0.18845029852100945,0.24901643971337065,0.0009893298743830167,0.0650717094540596,0.14221517741680145,0.1462993323802948,0.18845029175281525,0.21718788146972656
15,1.3677615341565288,0.1860318469568769,0.2467728278150273,0.0009877641290737885,0.06544547528028488,0.14075347781181335,0.3301928639411926,0.18603183329105377,0.16272097826004028
