epoch,train_loss,train_loss_cls,train_loss_mmd,trg_mAcc,trg_OA,src_mAcc,src_OA,lr,trg_precision,src_precision,loss_mmd_list,weight_mmd_list
1,7.831751692097801,1.9150745826410063,11.833354222859052,0.1608622741268191,0.2383380423262137,0.14622398035109022,0.14622398035109022,0.00010000900000000001,0.18207967281341553,0.1381811499595642,"[1.0983892679214478, 1.0996906757354736, 1.0988341569900513, 1.0985734462738037]","[2.7182817459106445, 2.7182817459106445, 2.7182817459106445, 2.7182817459106445]"
2,1.7709998117834682,1.4467703118110098,0.6484590010854017,0.16666666666666666,0.22641399391719086,0.38245427629637224,0.38245427629637224,0.00020000800000000003,0.22641399502754211,0.3824542760848999,"[0.07094120979309082, 0.0704495906829834, 0.0692223310470581, 0.06706827878952026]","[2.6992876529693604, 2.6997392177581787, 2.699941396713257, 2.6999711990356445]"
3,1.6633695943135742,1.44097596956483,0.4447872506335695,0.14276630512154953,0.1918072164235847,0.3817441602944851,0.3817441602944851,0.00030000700000000003,0.19663196802139282,0.3738906979560852,"[0.1115792989730835, 0.1099390983581543, 0.10845702886581421, 0.10657650232315063]","[2.6592109203338623, 2.6601786613464355, 2.6607799530029297, 2.6607284545898438]"
4,1.6584843549322574,1.4400472047762949,0.436874302786645,0.14627206676587237,0.19810495437893136,0.3853413416665446,0.3853413416665446,0.00040000600000000006,0.15969012677669525,0.4272930324077606,"[0.07491695880889893, 0.0732070803642273, 0.07391679286956787, 0.07428860664367676]","[2.568148612976074, 2.5702435970306396, 2.571521759033203, 2.571246385574341]"
5,1.6522038157668237,1.4386270608462342,0.42715350509649824,0.1661069042995275,0.2256295217852123,0.38245427629637224,0.38245427629637224,0.0005000050000000001,0.20001736283302307,0.2078961282968521,"[0.06846463680267334, 0.06864136457443237, 0.0685204267501831, 0.06869035959243774]","[2.397808074951172, 2.40156626701355, 2.4037652015686035, 2.403104782104492]"
6,1.517564775532301,1.3221105571756973,0.39090843138947695,0.14781157823444843,0.1885433227344992,0.6241724374687383,0.6241724374687383,0.0006000040000000001,0.36092692613601685,0.6106874942779541,"[0.010972023010253906, 0.01024627685546875, 0.010834157466888428, 0.011753320693969727]","[2.1358349323272705, 2.1413798332214355, 2.1440958976745605, 2.1425042152404785]"
7,1.0387013834982617,0.8571358877575426,0.3631309932428049,0.15102107557656666,0.2045625388815926,0.7073341224497405,0.7073341224497405,0.0007000030000000001,0.34719523787498474,0.7027185559272766,"[0.05291295051574707, 0.05504387617111206, 0.05079925060272217, 0.0557786226272583]","[1.775850772857666, 1.7860244512557983, 1.7883573770523071, 1.7839215993881226]"
8,0.8156116662577816,0.6756999785384388,0.2798233759847093,0.19770806875854563,0.23321827262044653,0.7151516119855154,0.7151516119855154,0.0008000020000000002,0.31383779644966125,0.6597067713737488,"[0.017658352851867676, 0.018074750900268555, 0.016952872276306152, 0.017907917499542236]","[1.4098957777023315, 1.418253779411316, 1.418798565864563, 1.415358066558838]"
9,0.741483962458358,0.6373053659149941,0.20835719306911418,0.2887485360497258,0.43371768507638075,0.7376911377079142,0.7376911377079142,0.0009000010000000002,0.4301271438598633,0.7237719893455505,"[0.05191463232040405, 0.05291014909744263, 0.04930764436721802, 0.051159024238586426]","[1.075117588043213, 1.0808532238006592, 1.0809513330459595, 1.078516960144043]"
10,0.6876365290184111,0.6112163310637148,0.15284039558243914,0.2955122530865807,0.49455801709638025,0.7436933932138652,0.7436933932138652,0.0009998766400914328,0.41656994819641113,0.707893431186676,"[0.0468716025352478, 0.0465661883354187, 0.04171985387802124, 0.04683709144592285]","[0.7926260232925415, 0.7956686019897461, 0.7950169444084167, 0.793128490447998]"
11,0.6526246477385221,0.5966171007911646,0.1120150933674059,0.35242327871457463,0.5430271623925716,0.7367320372828654,0.7367320372828654,0.0009998507370887434,0.41481924057006836,0.7087070941925049,"[0.029486536979675293, 0.037040114402770996, 0.028872251510620117, 0.0373530387878418]","[0.5602678656578064, 0.5638386011123657, 0.5630657076835632, 0.5617398023605347]"
12,0.6297937832755118,0.5918965961423044,0.07579437534965522,0.3130953974346022,0.5398579525817377,0.7528711987157553,0.7528711987157553,0.0009998223681601474,0.38329994678497314,0.7292574048042297,"[0.03303271532058716, 0.03720521926879883, 0.034630417823791504, 0.03982311487197876]","[0.4056521952152252, 0.4076825976371765, 0.4073067605495453, 0.4058505892753601]"
13,0.6083461790220112,0.580451705636144,0.05578894776525526,0.2717704217321916,0.512794204050598,0.7443822057356957,0.7443822057356957,0.000999791533585635,0.40553414821624756,0.7139462828636169,"[0.09353047609329224, 0.0908973217010498, 0.09119188785552979, 0.07218122482299805]","[0.2915269732475281, 0.29234373569488525, 0.2924249768257141, 0.291246235370636]"
14,0.5925627604443976,0.5731389848053032,0.0388475523724377,0.2358749028181679,0.32925328621460337,0.7577962970113437,0.7577962970113437,0.000999758233669531,0.2912706434726715,0.7405443787574768,"[0.0368272066116333, 0.03415566682815552, 0.032201170921325684, 0.03369617462158203]","[0.21099932491779327, 0.21166712045669556, 0.21195191144943237, 0.21102078258991241]"
15,0.5764281293883673,0.5621742790754242,0.02850770191058305,0.3064948048225661,0.4604901816778415,0.7489526898528418,0.7489526898528418,0.0009997224687404926,0.2953566610813141,0.7236747741699219,"[0.199987530708313, 0.1964779496192932, 0.18857085704803467, 0.19270920753479004]","[0.15195702016353607, 0.15257085859775543, 0.15277718007564545, 0.15198758244514465]"
16,0.5632507491407664,0.5532554754410511,0.019990547499608415,0.41501156913017345,0.5500712109167991,0.7633729267386635,0.7633729267386635,0.0009996842391515044,0.38766565918922424,0.7230134606361389,"[0.03128945827484131, 0.0331270694732666, 0.04198455810546875, 0.03148949146270752]","[0.10984403640031815, 0.1105370819568634, 0.11074814200401306, 0.1100718304514885]"
17,0.5459388977810564,0.5388818712240133,0.014114053794414017,0.31788193934332926,0.4502844836524504,0.7607512672241965,0.7607512672241965,0.0009996435452798774,0.2748236656188965,0.7472566962242126,"[0.048669636249542236, 0.04113960266113281, 0.04038971662521362, 0.03829258680343628]","[0.07980918139219284, 0.0804300308227539, 0.08049656450748444, 0.08008518815040588]"
18,0.5343239627267734,0.5290948318462845,0.010458261919707109,0.39768003922650075,0.46899048985046426,0.7585920707559585,0.7585920707559585,0.0009996003875272438,0.404794305562973,0.7104362845420837,"[0.05397313833236694, 0.0471612811088562, 0.04556781053543091, 0.044852495193481445]","[0.057542745023965836, 0.05805174261331558, 0.0580904558300972, 0.05782300978899002]"
19,0.5247436350048574,0.521031736517347,0.007423795509233578,0.3580972963675518,0.5384841363102233,0.7660762495933476,0.7660762495933476,0.000999554766319553,0.3361116647720337,0.753790557384491,"[0.050052106380462646, 0.054150164127349854, 0.05155229568481445, 0.045185625553131104]","[0.041581667959690094, 0.04194670170545578, 0.04197058081626892, 0.04178834706544876]"
20,0.5258859287128381,0.5231749026135631,0.005422053563196089,0.38252172123150036,0.453917392456395,0.7633099039434961,0.7633099039434961,0.000999506682107068,0.32327455282211304,0.7389428019523621,"[0.11092197895050049, 0.10609185695648193, 0.10469788312911987, 0.0979188084602356]","[0.029981108382344246, 0.03016475774347782, 0.030184967443346977, 0.03001997619867325]"
21,0.5155807082534681,0.5136802347627938,0.00380094780454695,0.27527525800170677,0.4739396125665307,0.777819349152055,0.777819349152055,0.0009994561353643605,0.25901731848716736,0.7815085053443909,"[0.08779478073120117, 0.08416968584060669, 0.08507227897644043, 0.0819852352142334]","[0.021741027012467384, 0.02184627205133438, 0.02185979299247265, 0.02172178402543068]"
22,0.5117161218649389,0.5103234483136071,0.002785347187670056,0.3764467618091756,0.5177519671205733,0.7727579973486044,0.7727579973486044,0.0009994031265903062,0.3701203763484955,0.7617314457893372,"[0.06419599056243896, 0.07140839099884033, 0.06698143482208252, 0.065762460231781]","[0.01561749167740345, 0.015654128044843674, 0.01567012630403042, 0.015551123768091202]"
23,0.5104501113542147,0.5094635746932763,0.0019730733263146148,0.30136253607546215,0.4063043622266768,0.7815527840319765,0.7815527840319765,0.000999347656308081,0.23401755094528198,0.7617130875587463,"[0.0982208251953125, 0.09868395328521729, 0.0966765284538269, 0.09548664093017578]","[0.011286057531833649, 0.011344578117132187, 0.011351233348250389, 0.011243247427046299]"
24,0.4997062580241661,0.4989926067156713,0.001427301056872961,0.30003133910248253,0.5181217022649248,0.7679997763134594,0.7679997763134594,0.0009992897250651535,0.26376044750213623,0.7456996440887451,"[0.04211181402206421, 0.03393346071243286, 0.04538780450820923, 0.04013794660568237]","[0.008133482187986374, 0.008162937127053738, 0.008174879476428032, 0.008085994981229305]"
25,0.500179347381806,0.49966059043897804,0.0010375142292427526,0.2704148808757574,0.5108965663233566,0.7714713559176851,0.7714713559176851,0.000999229333433282,0.31137606501579285,0.7474774718284607,"[0.04148977994918823, 0.05969732999801636, 0.060009002685546875, 0.06109493970870972]","[0.005855883471667767, 0.005864291451871395, 0.005868591368198395, 0.005806017201393843]"
26,0.49876842142278704,0.49838508172379037,0.000766679773745804,0.3297620499730517,0.4867093356143868,0.7606198957638474,0.7606198957638474,0.0009991664820085074,0.2980763912200928,0.7382085919380188,"[0.1120445728302002, 0.1268596649169922, 0.11914223432540894, 0.1275317668914795]","[0.004173749592155218, 0.00417921831831336, 0.004181919153779745, 0.00413403008133173]"
27,0.49555092123524236,0.49528127383819426,0.0005392942368317793,0.3126101325569512,0.4837064526162992,0.77472812543134,0.77472812543134,0.000999101171411148,0.2992985248565674,0.7566404938697815,"[0.06573021411895752, 0.0530737042427063, 0.04888129234313965, 0.05589014291763306]","[0.0029902737587690353, 0.002993121277540922, 0.00298940553329885, 0.00296026817522943]"
