epoch,train_loss,train_loss_cls,train_loss_mmd,trg_mAcc,trg_OA,src_mAcc,src_OA,lr,trg_precision,src_precision
1,2.493955764928326,1.9398809219083042,1.1081496836445857,0.1726260205808887,0.18469836524504044,0.1353352391071534,0.1353352391071534,0.00010000900000000001,0.16056862473487854,0.13215884566307068
2,1.452600744458237,1.4180221977526979,0.06915709679290194,0.18043726695009485,0.2697392485196194,0.5589323050853626,0.5589323050853626,0.00020000800000000003,0.41875383257865906,0.5119053721427917
3,0.8925135532310386,0.8643355353715572,0.05635603740987485,0.3286636192021159,0.2633853482638649,0.7281280942750004,0.7281280942750004,0.00030000700000000003,0.426270455121994,0.7176215052604675
4,0.679356291432189,0.6551594814862484,0.04839362101915599,0.4268601885643913,0.45272502361696737,0.7528365805606632,0.7528365805606632,0.00040000600000000006,0.45512738823890686,0.7249384522438049
5,0.6191499731008042,0.5969449492351947,0.04441004815394715,0.39969537494907076,0.4627543144167185,0.7528427940756798,0.7528427940756798,0.0005000050000000001,0.46526288986206055,0.7582764625549316
6,0.5990711160655845,0.5767334557312318,0.04467531933006665,0.4673557770283597,0.5576509613833782,0.7579285561166952,0.7579285561166952,0.0006000040000000001,0.45140257477760315,0.7467613220214844
7,0.5924527778270396,0.5703292054346549,0.04424714386885893,0.45983867482265756,0.5628330136402387,0.7756823438088758,0.7756823438088758,0.0007000030000000001,0.5037646889686584,0.7563176155090332
8,0.5936848580414522,0.5701096071630505,0.04715050196816735,0.3026315967024927,0.40928420428100737,0.768795106235573,0.768795106235573,0.0008000020000000002,0.26923301815986633,0.7659133076667786
9,0.6003720279492385,0.5756855958601543,0.04937286403725897,0.21955405577193163,0.3164680825326605,0.7703782210972802,0.7703782210972802,0.0009000010000000002,0.23682467639446259,0.7456040382385254
10,0.5947314417672214,0.5715637992953014,0.046335284380202596,0.1625085922610312,0.022369156240639617,0.742243868925013,0.742243868925013,0.0009945369001834515,0.28097042441368103,0.7235577702522278
11,0.5902192931860051,0.5667897488913074,0.04685908844848615,0.17239495405190167,0.24202423331259648,0.758091438974628,0.758091438974628,0.00099339472571829,0.23241908848285675,0.7317227721214294
