epoch,train_loss,train_loss_cls,train_loss_mmd,trg_OA,trg_mIoU,src_OA,srg_mIoU,lr,trg_precision,src_precision,loss_mmd_list
1,4.092471407378537,1.9493381736126352,4.286266474859089,0.24117927870325567,0.06994239240884781,0.12039706136245519,0.04911066219210625,0.00010000900000000001,0.16622139513492584,0.19469305872917175,"[1.1153920888900757, 1.1166026592254639, 1.118525505065918, 1.1362299919128418]"
2,1.5443692899201216,1.4127204939546878,0.2632975883376796,0.15918412018156264,0.03745324909687042,0.4565695272358335,0.12045088410377502,0.00020000800000000003,0.16143903136253357,0.3794316053390503,"[0.072121262550354, 0.07243311405181885, 0.07179594039916992, 0.0697869062423706]"
3,1.1256602947593581,1.0218161991302004,0.2076881897083129,0.1686305471072095,0.09842003136873245,0.6980151813924753,0.4307614266872406,0.00030000700000000003,0.31629905104637146,0.6819416880607605,"[0.11632633209228516, 0.1212955117225647, 0.12256336212158203, 0.11046314239501953]"
4,0.8522119549572045,0.7560004073747788,0.1924230931921208,0.3211533144397595,0.1558285355567932,0.7246809249083396,0.44543981552124023,0.00040000600000000006,0.2776271402835846,0.7584467530250549,"[0.07558274269104004, 0.07486569881439209, 0.07406312227249146, 0.0946606993675232]"
5,0.7213941643071795,0.6311393969166081,0.18050953435841463,0.34356819255316695,0.15846450626850128,0.7498416663227042,0.5190804600715637,0.0005000050000000001,0.309213250875473,0.7278844714164734,"[0.05323338508605957, 0.05094349384307861, 0.05441999435424805, 0.04543280601501465]"
6,0.6884347667508092,0.6008100250018122,0.1752494867389084,0.39026642531278083,0.13923116028308868,0.7433245767153851,0.4918229579925537,0.0006000040000000001,0.274208664894104,0.7294314503669739,"[0.04817306995391846, 0.05995982885360718, 0.10370844602584839, 0.11458688974380493]"
7,0.681877654847242,0.5920464166794545,0.1796624756310285,0.2826612578051197,0.11987268924713135,0.7463368000308901,0.516739547252655,0.0007000030000000001,0.30436161160469055,0.6981780529022217,"[0.0858953595161438, 0.08665364980697632, 0.07486575841903687, 0.08042716979980469]"
8,0.7390673657962898,0.6397210987676684,0.19869253426860692,0.48029927305822445,0.17492534220218658,0.7426304383235404,0.510467529296875,0.0008000020000000002,0.265445351600647,0.7078075408935547,"[0.054340362548828125, 0.05764496326446533, 0.05578005313873291, 0.047384440898895264]"
9,0.776384785454324,0.685051890587694,0.18266578916962264,0.21376883597152138,0.04134874418377876,0.6853067678937027,0.40014365315437317,0.0009000010000000002,0.2544010877609253,0.7000425457954407,"[0.043261051177978516, 0.05551260709762573, 0.056255042552948, 0.06641465425491333]"
10,1.3552502886200628,1.2504873568143686,0.20952586812048657,0.22811218347503515,0.055450692772865295,0.5571938523482427,0.1589047759771347,0.0009998766400914328,0.36892133951187134,0.454948753118515,"[0.04249340295791626, 0.04624044895172119, 0.0483553409576416, 0.04958999156951904]"
