epoch,train_loss,train_loss_cls,train_loss_mmd,trg_OA,trg_mIoU,src_OA,srg_mIoU,lr,trg_precision,src_precision,loss_mmd_list,weight_mmd_list
1,1.9360281834929265,1.9360281834929265,0.0,0.1242810505518306,0.05482633784413338,0.14881901051548652,0.06550219655036926,0.00010000900000000001,0.16736029088497162,0.16722631454467773,[],[]
2,1.0623470803383677,1.0623470803383677,0.0,0.415368453491855,0.13982729613780975,0.7017242060348321,0.45714786648750305,0.00020000800000000003,0.26802563667297363,0.671866238117218,[],[]
3,0.721648572043606,0.721648572043606,0.0,0.3288864311882215,0.12206325680017471,0.7290672226874961,0.4840085506439209,0.00030000700000000003,0.27764442563056946,0.7425690293312073,[],[]
4,0.5863205290996155,0.5863205290996155,0.0,0.1382701435450796,0.05272802710533142,0.7696388128103151,0.5518600344657898,0.00040000600000000006,0.1582888811826706,0.7623811364173889,[],[]
5,0.5513135592495014,0.5513135592495014,0.0,0.3202946792700629,0.08369026333093643,0.7939274430098622,0.5908508896827698,0.0005000050000000001,0.19059167802333832,0.7815901637077332,[],[]
6,0.5306169429076197,0.5306169429076197,0.0,0.2960336455381212,0.08634472638368607,0.7764279656108574,0.5658818483352661,0.0006000040000000001,0.1589501053094864,0.7566599249839783,[],[]
7,0.5292046695031737,0.5292046695031737,0.0,0.3291359214073408,0.08227069675922394,0.79062274066608,0.5894612669944763,0.0007000030000000001,0.17145507037639618,0.7587031722068787,[],[]
8,0.5332194097850903,0.5332194097850903,0.0,0.19331387813644846,0.05809197947382927,0.7500418302707361,0.5294018983840942,0.0008000020000000002,0.13339193165302277,0.7227985262870789,[],[]
9,0.5231078073347151,0.5231078073347151,0.0,0.16363318241515173,0.05687303468585014,0.7688474772907121,0.5659809112548828,0.0009000010000000002,0.11496257781982422,0.7130374312400818,[],[]
10,0.5220374096158549,0.5220374096158549,0.0,0.19152676493629178,0.07172313332557678,0.760841363191936,0.5394518971443176,0.0009969220851487844,0.1526697725057602,0.7394106388092041,[],[]
11,0.5245940466862762,0.5245940466862762,0.0,0.26717630354139305,0.07674045115709305,0.7636747260394656,0.5488784313201904,0.0009962773315386935,0.13809151947498322,0.7479889392852783,[],[]
12,0.5113336447071521,0.5113336447071521,0.0,0.34478036220363584,0.08661124855279922,0.7846058390175901,0.5805885195732117,0.0009955718126821722,0.14439652860164642,0.769375741481781,[],[]
13,0.503083574468926,0.503083574468926,0.0,0.08416064722011013,0.03252897039055824,0.7807996172474749,0.5644543766975403,0.0009948057026554415,0.10468310862779617,0.7828174233436584,[],[]
14,0.4983565722796934,0.4983565722796934,0.0,0.12807056577037396,0.043630365282297134,0.762538096613945,0.5507977604866028,0.000993979190484687,0.13169579207897186,0.7419212460517883,[],[]
15,0.4843026112509676,0.4843026112509676,0.0,0.12483655330522338,0.04166203364729881,0.7828034758403002,0.5765218138694763,0.000993092480099419,0.1684274971485138,0.7732720971107483,[],[]
16,0.4857990314598343,0.4857990314598343,0.0,0.09332410255524067,0.031053951010107994,0.7777434555043532,0.5675769448280334,0.0009921457902821577,0.1370939016342163,0.7723731398582458,[],[]
17,0.4878062644607914,0.4878062644607914,0.0,0.19949785143199467,0.05682062730193138,0.7796944992195382,0.5713987350463867,0.0009911393546144496,0.1890394240617752,0.7801784873008728,[],[]
18,0.4807988097516921,0.4807988097516921,0.0,0.16331996958595424,0.05044446513056755,0.7882367508997392,0.5861241817474365,0.0009900734214192358,0.13550658524036407,0.7822412848472595,[],[]
19,0.47448792024988934,0.47448792024988934,0.0,0.16715628672150412,0.05428149178624153,0.7722875454973541,0.5676985383033752,0.0009889482536995825,0.1645861268043518,0.7518885731697083,[],[]
