epoch,train_loss,train_loss_cls,train_loss_mmd,trg_OA,trg_mIoU,src_OA,srg_mIoU,lr,trg_precision,src_precision,loss_mmd_list
14,1.661321274636767,1.4376504116869988,0.14911390633165977,0.05676532510771641,0.011823822744190693,0.45332784768721873,0.12062249332666397,0.000999758233669531,0.13485294580459595,0.383859246969223,"[0.07164835929870605, 0.07176589965820312, 0.0740627646446228, 0.07529133558273315]"
15,1.6172630073894563,1.4089622789240899,0.13886715108903025,0.06989110273956821,0.02229207567870617,0.4737068454738759,0.1262611299753189,0.0009997224687404926,0.19562822580337524,0.47231894731521606,"[0.04990798234939575, 0.05027264356613159, 0.05026179552078247, 0.05023688077926636]"
16,1.6336321904022362,1.4232142164633912,0.14027865030241352,0.2210501342134974,0.047568175941705704,0.4864529838852488,0.1273895651102066,0.0009996842391515044,0.14266622066497803,0.33386656641960144,"[0.07784140110015869, 0.07806414365768433, 0.07805466651916504, 0.0781058669090271]"
17,1.6339236607788303,1.4060875828384507,0.15189071764055437,0.23314230950899748,0.06488852202892303,0.49298516345760807,0.13306675851345062,0.0009996435452798774,0.2512044310569763,0.4907582402229309,"[0.12316203117370605, 0.12335872650146484, 0.1220088005065918, 0.12199115753173828]"
18,1.617819260339083,1.3930499011179516,0.14984623936332991,0.0931120538697265,0.029697949066758156,0.49036838599065397,0.1296347975730896,0.0009996003875272438,0.18921606242656708,0.49533218145370483,"[0.03336024284362793, 0.03329157829284668, 0.03277790546417236, 0.03234148025512695]"
19,1.7483972777429766,1.471269680957704,0.1847517317773039,0.20060237667334854,0.046962130814790726,0.39654741599882476,0.096243716776371,0.000999554766319553,0.13390876352787018,0.42160722613334656,"[0.06791633367538452, 0.06726455688476562, 0.06723326444625854, 0.06476837396621704]"
20,1.7082412969981524,1.4648599659861121,0.16225422048681454,0.21072455127762033,0.055930424481630325,0.47910372708821813,0.12767183780670166,0.000999506682107068,0.20947697758674622,0.47797009348869324,"[0.03782600164413452, 0.037310004234313965, 0.03823977708816528, 0.037287354469299316]"
21,1.6557274483338034,1.4240671258164355,0.1544402141661227,0.2068914742747863,0.047261472791433334,0.4570697151946628,0.11984940618276596,0.0009994561353643605,0.16871383786201477,0.4546477794647217,"[0.09744501113891602, 0.09779322147369385, 0.097087562084198, 0.09868466854095459]"
22,1.6498057041889669,1.431885771013039,0.14527995408849514,0.2068914742747863,0.03465744107961655,0.4651996557712681,0.12291065603494644,0.0009994031265903062,0.12397600710391998,0.46283861994743347,"[0.022211074829101562, 0.022331416606903076, 0.02231013774871826, 0.022028863430023193]"
23,1.740176778313116,1.4856510818990973,0.169683797351012,0.2381774757494067,0.06291414052248001,0.4289273742173745,0.1059245690703392,0.000999347656308081,0.1508667767047882,0.4291703701019287,"[0.06025576591491699, 0.06075096130371094, 0.06069892644882202, 0.0595967173576355]"
24,1.7013524866555036,1.473725017644553,0.1517516472519994,0.19674589871201123,0.03969826176762581,0.40973782073387827,0.08720896393060684,0.0009992897250651535,0.15603560209274292,0.43070316314697266,"[0.02154541015625, 0.021737873554229736, 0.022257983684539795, 0.021434545516967773]"
25,1.6355342545126066,1.4160248576608392,0.14633959862920973,0.12552634155895026,0.030477916821837425,0.44301962627482466,0.10332870483398438,0.000999229333433282,0.11519911140203476,0.3912280797958374,"[0.07975828647613525, 0.07971608638763428, 0.07787454128265381, 0.0742955207824707]"
26,1.6258393717713953,1.4039833874003544,0.1479039918587281,0.21019028939425358,0.04272724688053131,0.509644041039379,0.14002902805805206,0.0009991664820085074,0.16381104290485382,0.5089309215545654,"[0.05062878131866455, 0.05099034309387207, 0.051603078842163086, 0.0516127347946167]"
27,1.6058182151323233,1.382706216041078,0.1487413321403747,0.2112069710375337,0.04882293567061424,0.5182222423421756,0.14321666955947876,0.000999101171411148,0.08845999091863632,0.3642948567867279,"[0.026565730571746826, 0.027272403240203857, 0.027304649353027344, 0.02989441156387329]"
28,1.5733372452129426,1.346759553778538,0.15105179515854406,0.20643065539964517,0.05620734766125679,0.5295951939348992,0.1483628749847412,0.000999033402285793,0.11103087663650513,0.4454955756664276,"[0.026421308517456055, 0.02675342559814453, 0.026469647884368896, 0.02685636281967163]"
29,1.5337266907906137,1.3296517618440848,0.13604995298329256,0.20772166827953273,0.058781642466783524,0.5359755862118551,0.15431778132915497,0.0009989631753012963,0.0985872745513916,0.4243128299713135,"[0.0213090181350708, 0.021639108657836914, 0.021426022052764893, 0.021638572216033936]"
30,1.558860678903882,1.3401902241909758,0.14578030492678884,0.21232625688348195,0.057267408818006516,0.5145527179024239,0.14068292081356049,0.00099889049115077,0.14975303411483765,0.4166884124279022,"[0.14815253019332886, 0.14892113208770752, 0.14636993408203125, 0.14645767211914062]"
31,1.577575973444233,1.3508297860199678,0.151164125395723,0.20075502292573905,0.04813128709793091,0.5374530713182816,0.15110047161579132,0.000998815350551577,0.1264375001192093,0.3606729209423065,"[0.04193460941314697, 0.041275739669799805, 0.04212671518325806, 0.042017459869384766]"
32,1.5333865976784529,1.317321556257018,0.14404336259156536,0.1847761284302205,0.04136002063751221,0.5509275224540899,0.15787655115127563,0.000998737754245325,0.16806209087371826,0.3746868669986725,"[0.12505990266799927, 0.12299829721450806, 0.1239580512046814, 0.12336528301239014]"
